Time (s) ,C1 (pF),C2 (pF)
0.015,39.9068,39.9123
0.03,39.9975,40.0029
0.045,40.0715,40.0755
0.06,40.1338,40.1413
0.075,40.1887,40.195
0.09,40.2414,40.2447
0.105,40.2823,40.2869
0.12,40.3194,40.3248
0.135,40.3548,40.3593
0.15,40.3816,40.3897
0.165,40.4109,40.4169
0.18,40.4371,40.4393
0.195,40.4563,40.4613
0.21,40.4776,40.4788
0.225,40.4945,40.4976
0.24,40.5084,40.5151
0.255,40.5241,40.5279
0.27,40.5349,40.5395
0.285,40.5464,40.5524
0.3,40.5546,40.5588
0.315,40.5656,40.5688
0.33,40.5724,40.5784
0.345,40.5822,40.5865
0.36,40.5859,40.5917
0.375,40.5931,40.5986
0.39,40.5997,40.6025
0.405,40.6046,40.6088
0.42,40.6077,40.613
0.435,40.6128,40.619
0.45,40.6172,40.6217
0.465,40.6202,40.625
0.48,40.6239,40.6266
0.495,40.6275,40.6307
0.51,40.6291,40.6318
0.525,40.6296,40.6376
0.54,40.6336,40.6386
0.555,40.6358,40.6392
0.57,40.6355,40.6403
0.585,40.6398,40.6426
0.6,40.6423,40.6445
0.615,40.6419,40.6465
0.63,40.6452,40.6483
0.645,40.6453,40.6495
0.66,40.646,40.6489
0.675,40.6483,40.652
0.69,40.6494,40.6533
0.705,40.6488,40.6551
0.72,40.6517,40.6539
0.735,40.653,40.6547
0.75,40.6545,40.6555
0.765,40.6542,40.6564
0.78,40.6545,40.6583
0.795,40.6543,40.6604
0.81,40.6575,40.6592
0.825,40.6581,40.6599
0.84,40.6571,40.6605
0.855,40.6585,40.6619
0.87,40.6584,40.6632
0.885,40.6565,40.6622
0.9,40.6592,40.6621
0.915,40.6589,40.6636
0.93,40.6593,40.6638
0.945,40.6618,40.6648
0.96,40.6632,40.6661
0.975,40.6619,40.668
0.99,40.6629,40.6691
1.005,40.6638,40.6677
01.02,40.6654,40.6702
1.035,40.6658,40.6697
01.05,40.6643,40.6685
1.065,40.6654,40.6684
01.08,40.6656,40.6711
1.095,40.6658,40.6701
1.11,40.6685,40.6701
1.125,40.6683,40.6743
1.14,40.6684,40.6725
1.155,40.6695,40.6739
1.17,40.6694,40.6735
1.185,40.6676,40.6727
1.2,40.6714,40.674
1.215,40.6723,40.6732
1.23,40.6698,40.6771
1.245,40.6695,40.6765
1.26,40.671,40.676
1.275,40.6715,40.6756
1.29,40.6737,40.6769
1.305,40.672,40.6778
1.32,40.6732,40.6772
1.335,40.6741,40.6775
1.35,40.6747,40.6795
1.365,40.6738,40.6793
1.38,40.6743,40.6808
1.395,40.6769,40.6821
1.41,40.6755,40.6807
1.425,40.6753,40.679
1.44,40.6774,40.68
1.455,40.6791,40.6812
1.47,40.6777,40.6828
1.485,40.6796,40.683
1.5,40.6781,40.6824
1.515,40.6803,40.683
1.53,40.6814,40.684
1.545,40.6811,40.6849
1.56,40.6788,40.6857
1.575,40.6814,40.6846
1.59,40.6802,40.6863
1.605,40.681,40.6838
1.62,40.6828,40.6848
1.635,40.6809,40.686
1.65,40.6819,40.6872
1.665,40.6838,40.6872
1.68,40.6846,40.6889
1.695,40.6834,40.6896
1.71,40.6852,40.6882
1.725,40.6864,40.6896
1.74,40.6865,40.6899
1.755,40.6845,40.6901
1.77,40.6853,40.6881
1.785,40.6861,40.6907
1.8,40.68941,40.6903
1.815,40.6883,40.6913
1.83,40.6869,40.692
1.845,40.6867,40.6929
1.86,40.6879,40.6921
1.875,40.6889,40.6926
1.89,40.6908,40.6927
1.905,40.6909,40.6913
1.92,40.6889,40.6946
1.935,40.69,40.6948
1.95,40.6908,40.6947
1.965,40.6919,40.6952
1.98,40.691,40.6971
1.995,40.6902,40.6961
02.01,40.69,40.696
2.025,40.6923,40.6957
02.04,40.6923,40.6972
2.055,40.6927,40.6981
02.07,40.6932,40.6981
2.085,40.695,40.697
2.1,40.6957,40.6985
2.115,40.694,40.7001
2.13,40.6944,40.6996
2.145,40.69481,40.7
2.16,40.6969,40.7
2.175,40.69781,40.7003
2.19,40.69519,40.701
2.205,40.69839,40.7014
2.22,40.6979,40.7006
2.235,40.6976,40.70361
2.25,40.69979,40.70191
2.265,40.6979,40.7033
2.28,40.6989,40.70411
2.295,40.6983,40.7022
2.31,40.6984,40.7028
2.325,40.6976,40.7029
2.34,40.7012,40.7025
2.355,40.7016,40.7027
2.37,40.7006,40.7043
2.385,40.7022,40.7052
2.4,40.69999,40.70439
2.415,40.7012,40.706
2.43,40.7023,40.7055
2.445,40.703,40.7062
2.46,40.7015,40.7072
2.475,40.7032,40.7065
2.49,40.70508,40.70502
2.505,40.7027,40.7073
2.52,40.7042,40.7085
2.535,40.70658,40.7084
2.55,40.7056,40.70911
2.565,40.7046,40.70679
2.58,40.70691,40.70981
2.595,40.7055,40.7104
2.61,40.7067,40.7096
2.625,40.7072,40.71271
2.64,40.7057,40.71
2.655,40.7061,40.71009
2.67,40.706,40.7115
2.685,40.70661,40.7124
2.7,40.70911,40.7127
2.715,40.7076,40.7136
2.73,40.708,40.7139
2.745,40.7086,40.7134
2.76,40.70981,40.7143
2.775,40.709,40.7141
2.79,40.7085,40.7138
2.805,40.7108,40.7154
2.82,40.7121,40.7152
2.835,40.7118,40.7146
2.85,40.71011,40.71539
2.865,40.712,40.7142
2.88,40.71221,40.7153
2.895,40.71131,40.7163
2.91,40.7121,40.7167
2.925,40.71311,40.71669
2.94,40.7122,40.718
2.955,40.714,40.7171
2.97,40.7128,40.718
2.985,40.7133,40.71939
3,40.714,40.7191